Names,Meanings,Sentences,Tags,Level,Collocations,Synonyms,Pronunciations,Name
"exponential
exponentially","指数関数的な、急激な、飛躍的な
指数関数的に、急激に、飛躍的に","On average, one new user invited two more, making the growth of the social network exponential.
There has been exponential growth in the number of TikTok users over the last three years.
Once he immersed himself in the culture, his Spanish improved exponentially.","数量・論理, 程度・確度, 英検",3,,,,exponential
"exquisite
exquisitely","極めて美しい、実に素晴らしい
精巧に","The food at the restaurant was exquisite.
From the beautiful presentation to the unique blend of flavors, the meal was exquisite.","優劣・是非, 英検",4,,,,exquisite
"extract
extraction","抽出する、抜く、引き出す、聞き出す
抽出、採取、抜歯","The new machine extracts oil from seeds more efficiently.
I'm going to try and extract some more details from Dave. デイヴからもっと詳細を引き出してみるね
I had two wisdom teeth extractions today. 今日親知らずを2本抜きました","会話・伝達, 動作, 医療・健康, 英検",3,,,,extract
extraterrestrial,地球外の、地球外生命体、宇宙人,The scientist believes that there may have once been extraterrestrial life on Mars.,"物理・化学, 英検",5,,,,extraterrestrial
"extremist
extremism","過激派
過激主義",The police arrested several extremists who were planning a terrorist attack.,"人・職業, 感情・思考, 社会・国家, 英検",4,,,,extremist
"fabric
fabricate
fabrication","構造、基盤、生地、布、織物
製作する、組み立てる、でっち上げる、捏造する
捏造","I know this jacket costs a lot, but the fabric is so nice. このジャケット高価なんだけど、生地がすごく良いんだよね
It was later revealed that the journalist had fabricated the entire story.","ビジネス・経済, 便利, 英検",3,,,,fabric
"faction
factional","派閥
派閥（間）の","Each faction in the party wanted its candidate to have the job.
Several opposing factions in the party joined forces to take control.","社会・国家, 英検",3,,,,faction
faculty,学部、能力、機能、教授陣,His intellectual faculties are still acute despite his advanced age.,"人・職業, 便利, 英検",4,,,,faculty
"flex
flexible
flexibly
flexibility","手足を曲げる、筋肉をほぐす
柔軟な
柔軟に
柔軟性","The bodybuilder flexed his muscles for the judges to see.
*We started to work more flexibly by COVID-19.","動作, 英検",2,,,,flex
footage,映像、場面、ビデオクリップ、(フィートでの)サイズ,"People see live footage of the war at home on their televisions.
Everyone thought this rare footage from the old movie had been lost.","カタカナ・象徴語, 芸術・音楽, 英検",3,,,,footage
"foresee
foreseeable","予測する、予知する、予見する
予測可能な","We do not foresee any problems.
It is impossible to foresee how life will work out.
I just didn't foresee that happening.
The tribe’s people did not foresee how technology would change their society.","感情・思考, 時間・頻度, 英検",3,,,,foresee
"foresight
hindsight","先見の明、予感、展望
後知恵、後から判断する能力","They had the foresight to prepare a bag for emergencies.
He must have excellent foresight because the bridge he designed 80 years ago is still in use. 彼には素晴らしい先見の明があったに違いない。80年前に彼が設計した橋が今でも使われているのだから
In hindsight, I should not have booked this trip in the summer.","便利, 英検",4,,,,foresight
"fraud
fraudulent
fraudulently
fraudulence
defraud","不正行為、詐欺、詐欺師
不正の、詐欺の
不正に、騙して
不正、詐欺
騙し取る、搾取する","I've installed a surveillance camera to prevent employee fraud like the theft of money.
He discovered fraudulent payments had been made with his credit card.
The woman used several fake identities to defraud the bank.","社会・国家, 英検",3,,,,fraud
freight,運送貨物、貨物輸送,All the freight was lost when the ship sank.,英検,4,,,,freight
gauge,測る、判断する、評価する、測定基準、判断基準、測定機器(メーター),"I gauged the distance to the next mountain peak. : 私は、隣の山の頂までの距離を測りました
Children often try to gauge their parents' moods. 子どもたちは、よく、親の気分を推し量ろうとします
He changed the content of his speech after gauging the mood of the audience. 彼は聴衆の雰囲気を見て、スピーチの内容を変えた","IT・工学, カタカナ・象徴語, 便利, 物, 英検",3,,,,gauge
posture,姿勢、態度、格好をつける、ポーズを取る,"Good posture is essential when working at the computer.
Bad posture can lead to back problems when you get older.
I try to maintain a posture of gratitude, even during difficult times.","カタカナ・象徴語, 医療・健康, 感情・思考, 英検",3,,,,good posture
gregarious,集団を好む、社交的な,"Unlike her gregarious sister, she has a hard time talking to new people.","人・職業, 英検",4,,,,gregarious
haggle,値切る,"It's very normal to haggle the price of things at the market.
She was not used to haggling, so she ended up paying too much for the items.","ビジネス・経済, 英検",3,,,,haggle
"hallucinate
hallucination","幻覚を見る
幻覚","Heathcliff startted hallucinating Cathy's image everywhere.
The patient seemed to be hallucinating at that time.
High temperatures can cause hallucination.
I thought I saw Yukari on the train, but it must have been a halluciation. 電車の中でゆかりを見たと思ったんだけど、あれは幻覚だったに違いない","IT・工学, 医療・健康, 英検",4,,,,hallucinate
halt,中止する、停止する、食い止める、止まる、中止、停止,The war halted the export of important resources to other countries.,"影響・妨害, 英検",4,,,,halt
hassle,煩わしい、面倒な、骨の折れる,Getting to the airport from here is such a hassle.,"優劣・是非, 英検",2,,,,hassle
"hilarious
hilarity","とても面白い、滑稽な
爆笑、滑稽",Everyone was laughing at his hilarious story.,英検,3,,,,hilarious
"hinder
hinderance","妨げる、妨害する
妨害","Your fear of making mistakes is hindering your communicational English. 間違いを恐れることが英語を喋る妨げとなっています
Production was hindered by low morale at the factory.","影響・妨害, 英検",4,,,,hinder
hub,中心、中枢、拠点、重要な場所,"Is Osaka the hub of the Kansai region?
The kitchen was the hub of family life.
Toronto could be called the transportation hub of Canada.","便利, 地理・気候, 英検",3,,,,hub
hunch / have a hunch (that) -,予感、勘、直感、かがむ、（腰・肩などを）丸める / 〜の予感がする,"It seemed that the doctor's hunch had been right.
My hunch is that the are still in the area.
I had a hunch (that) you'd be back.
He hunched his shoulders and thrust his hands deep into his pockets.
She had a hunch that the stock market would crash, so she sold her shares.","便利, 動作, 意見・説明, 感情・思考, 英検",3,,,,hunch
"hygiene
hygienic
hygienically","衛生、清潔
衛生的な、清潔な
衛生的に、清潔に","I can't share a room with somebody that has poor personal hygiene.
The restaurant was shud down for failiing to maintain minimum standards of hygiene.
The restaurant didn’t look very hygienic.","医療・健康, 英検",3,,,,hygiene
"hype
hyperbolic","誇大広告、誇大広告する
大袈裟な、誇張した",The director’s movies always live up to the hype. その監督の映画はいつも派手な宣伝に違わぬ素晴らしさだ,英検,4,,,,hyperbolic
"identify
identity
identification(ID)
identical","特定する、(正体・身元を)認証する、識別する、割り出す、同一視する
正体、身元、自我
識別、身元確認、身分確認証
同一の、一致している","The police are still trying to identify the body found on the mountain.
*Now that we can pay with e-money at most shops, so I don't need to carry my wallet except for my identification.
This is the identical room we stayed in last year.
Her dress is almost identical to mine.","ビジネス・経済, 物, 英検",3,,,,identify
"mortal / immortal
mortally
mortality","致命的な、死ぬ運命の / 不死の、不死身の
致命的に
死亡、死亡数、死亡率、死ぬ運命","Who doesn't want to be immortal? 不死を願わない人がいるだろうか？
As a country becomes more developed, its infant mortality rate drops.","医療・健康, 社会・国家, 英検",4,,,,immortal
imperative,必須の、緊急の、命令的な、差し迫って必要なもの、義務,"It's imperative that you get used to driving on the right side of the road before you head to the U.S.
I think saving money for my son to go to university in the future is a moral imperative. 息子が将来大学に行くためにお金を貯めておくことは、人としてやるべきことだと思う
It is imperative that they get to the airport in time for their flight.","優劣・是非, 英検",3,,,,imperative
impetus,推進力、原動力、勢い、弾み、刺激、きっかけ,"The vocabulary book will surely give impetus to your English studies. この単語帳は確実に英語学習に拍車をかけてくれるんだ
The increase in homelessness was the impetus for the new policy.","便利, 物理・化学, 英検",4,,,,impetus
"imply
implicit
implicitly
implicate
implication
implications","暗示する、ほのめかす
暗黙の、それとなしの
暗黙のうちに
関与を示す、示唆する
隠れた意味、含意、関わり、関与
推測されること、予想される結果","The writer and his editor do not have a formal contract but rather an implicit agreement.
Research revealed this gene is implicated in the development of the disease.
*There's a lot of implication in Japanese words.
What do you see as the implications of this policy? この政策の持つ意味をどうお考えですか？
What are the implications? それでどういうことになる？","会話・伝達, 便利, 英検",2,"information
expression
comment",,,imply
"impose
imposition","課す、押し付ける
税、負担、押し付け","Let's impose a time limit on it. それに期限をつけましょう
School should not impose religious teaching. 学校は宗教教育を強行すべきではない
Don't impose your values. 君の価値観を押し付けないでよ
If it is no imposition, we will gladly accept your offer. 無理強いしないのなら、喜んであなたの申し出をお受けします","ビジネス・経済, 便利, 英検",3,,,,impose
"improvise
improvisation","即興でする、即興で作る（仮で〜する）
即興で作ること、アドリブ","improvised seat 即席で作った座席
His presentation materials would not load, so he had to improvise.","カタカナ・象徴語, 英検",3,,,,improvise
"retrospect / in retrospect
retrospective","回想、回顧 / 振り返ってみると
回顧的な","In retrospect, it was a good decision.
In retrospect, spending that much money on a toy was a bad idea.","感情・思考, 時間・頻度, 英検",3,,,,in retrospect
"incident
incidence","出来事
発生（率）",The area has high incidence of cancer compared to the national average.,"便利, 社会・国家, 程度・確度, 英検",3,,,,incident
"increment
incremental
incrementally","増大、増加
少しずつ増加する
少しずつ","His doctor recommended making incremental changes to his diet over the following months.
My hometown's developed incrementally over the past few years.","数量・論理, 英検",3,,,,incrementally
incur,負う、被る、受ける,She incurred a huge debt by gambling at casinos.,"ビジネス・経済, 英検",4,debt,,,incur
"indicate
indication
indicative
indicator","示す
兆候、兆し
示している、暗示している
指標、指示","I'm sure Jim was nervous when he was making that speech, but he gave no indication. ジムはスピーチで緊張してたはずなんだけど、そんな感じはしなかった
The presence of mosquitos is indicative of still water.
The economic indicators are better than expected.
These atmospheric waves are a reliable indicator of weather changes.
The stock market is seen as a leading indicator of economic growth.","便利, 英検",3,,,,indicator
indispensable,不可欠な,He was indispensable to the team and their success.,"優劣・是非, 英検",3,,,,indispensable
"induce
induce sb to do
inducement","説得する、勧誘する、その気にさせる、誘発する
誘因、刺激","I failed to induce him to see a doctor. 彼に医者に行くよう説得したが失敗した
Prior to the procedure, the doctors will give you a drug to induce sleep.","会話・伝達, 数量・論理, 英検",3,,,,induce
"induct
inductive
induction","就任させる、任命する
誘導の、誘導的な、帰納的な
就任、加入、電気誘導、帰納法",She was inducted as an honorary member of the association in 2013.,"ビジネス・経済, 数量・論理, 物理・化学, 英検",4,,,,inductive
"indulge
indulgent
indulgently","甘やかす、溺れる、没頭する、好きなだけ楽しむ
甘い、寛大な
寛大に","You indulge your kids too much. あなたは子どもを甘やかしすぎだ
After he lost his wife, he indulged in drinking. 彼は妻を亡くした後、お酒に溺れた
I spent a day indulging my passion for music. 私は大好きな音楽を満喫して一日を過ごした
Every Friday, she indulges herself by buying an expensive steak at the grocery store.","人・職業, 感情・思考, 英検",3,,,,indulge
"infant
infancy
infantile","幼児、乳児
幼児期、乳児期、初期段階
幼児の、乳児の",She told him that his infantile behavior was not appropriate for a grown man.,"人・職業, 時間・頻度, 英検",3,,,,infant
"infer
inference","推論する、推定する
推論、推定","He inferred from what she said that he would not be promoted.
It is difficult to infer anything from such evidence.
What inferences can we draw from this data?",英検,4,,,,infer
"infringe
infringement","侵害する、制限する
侵害、違反",Don’t infringe on our privacy.,"社会・国家, 英検",4,,,,infringement
"inherent
inherently","生まれつきの、本質的な
生まれつき","Is the ability to dance inherent or acquired? ダンスが上手いのって生まれつきかな？それとも後から習得できるのかな？
The corporation’s size gives it an inherent advantage over competitors.
I'm an inherently lazy person.","生物・動物, 英検",3,,,,inherent
inmate,囚人、受刑者,He volunteers once per per week to teach computer programming to prison inmates.,"人・職業, 社会・国家, 英検",4,,,,inmate
"insular
insularity","島の、島国の、島国根性の、偏狭な
島国根性",The village is quite isolated and people there are insular.,"地理・気候, 性格・態度, 英検",4,,,,insular
intake,摂取量、採用者(数)、入学者(数),The doctor advised her to increase her daily intake of water.,"ビジネス・経済, 医療・健康, 教育・学校, 数量・論理, 英検, 計画・予定",4,,,,intake
integritly,誠実さ、完全性,There is significant evidence that business leaders with integrity are more successful.,"性格・態度, 英検",4,,,,integritly
"intense
intensely
intensive
intensively
intensity
intensify","激しい、強烈な、真面目な、熱心な
激しく、強烈に、真面目に、熱心に
集中した、徹底的な、強い、激しい
集中して、集中的に、熱心に
強烈さ
激しくする、強める","The exam was really intense, but I managed to pass it, thanks to all my preparation. その試験はめちゃくちゃきつかったけど、準備して望んだおかげでなんとか合格できたよ
I prefer to work intensely for five or six hours a day rather than take it easy for 12 hours. 12時間のんびりやるより、1日5、6時間集中してやる方が好きなんです
She was studying intensively six days a week.
As their savings depleted, they intensified their efforts to find an investor.","性格・態度, 程度・確度, 英検",2,"pain
heat
cold
competition
relationship
training
course
study",,,intense
"intend
intent
intention
intentional
intentionally","意図する、〜するつもりである
意図、目的、含意、一点を見つめた、集中した、意思の固い
意図、目的
故意の、意図された
故意に、わざと","The original intent of the policy was to make it easier for young people to buy their own homes.
He broke the rule by intention, not by mistake.
I have no intention of going to the wedding.
He left the U.S. with the intention of traveling in Africa. アフリカを旅するつもりで、アメリカを発った
I have every intention of paying her back what I owe her. 借りたものは必ず返すつもりです
It was not my intention that she should suffer. 彼女が苦しむのは私の本意ではありません
The original intention was to devote three months to the project. 当初は3カ月間、このプロジェクトに専念するつもりだった
I'm sorry I left you off the list—it wasn't intentional.
She would never intentionally hurt anyone.","便利, 英検, 計画・予定",2,,,,intent
"intervene
intervention
interval","介入する、割って入る、遮る
介入、介在
隔たり、間隔、距離、区間
","Eventually, the army was forced to intervene.
Government often intervenes decisively in major professional issues in medicine.
She went over to intervene between the two men.The brother and sister’s mother intervened when they started to get violent.
The interval between major earthquakes might be 200 years.
Try setting your automatic email checker to 30-minute intervals.","カタカナ・象徴語, 位置・方向, 影響・妨害, 時間・頻度, 英検",3,,,,intervene
"intimidate
intimidate 人 into doing
intimidating
intimidation","威圧する
〜を脅して〜させる
威圧的な、びくびくさせるような
脅し、脅迫、威嚇","I sometimes feel intimidated by smart people. 賢い人ってたまに怖いときがあるんだよね
My boss is the worst. He intimidates me into keeping silent about his mistakes.
The government has said that it will not be intimidated by terrorists.
Do you find Connie intimidating because she's tall, or because she's loud? 彼女が威圧的に見えるのって、背が高いからかな？それとも声が大きいから？","性格・態度, 感情・思考, 英検",3,,,,intimidate
"intricate
intricately
intricacy","複雑な、込み入った
複雑に
複雑さ","I love how intricate the patterns are on this shirt.
The Alhambra in Granada, Spain, is known for its intricate carvings and unique design.
The hijacking operation was intricately planned.",英検,4,,,,intricate
"intrigue / be intrigued with
intriguing
intriguingly","興味を惹きつける、陰謀を企てる、陰謀、悪巧み / 〜に興味がある
面白いことに","Her idea for a fast-food Indian restaurant intrigued the investor.
I was very intrigued by the range of species found on that island.
Intriguingly, most people don't know Facebook owns Instagram and WhatsApp.","感情・思考, 社会・国家, 英検",3,,,,intrigue
"intrude
intrusive
intrusion
intruder","侵入する、押し入る、邪魔する
煩わしい、押し付けがましい
侵入
侵入者","Putting a soft contact lens in the eye is not very intrusive. ソフトコンタクトレンズを目の中に入れることはそれほど煩わしいことではありません
I don't like their intrusive sales methods.
She has always struggled to deal with her intrusive thoughts.","人・職業, 優劣・是非, 英検",4,,,,intrusive
"invariable
invariably","変わらない、変えられない、不変のもの、定数
いつも、必ず、相変わらず","She invariably eats out, so everyone was surprised when she brought her hunch to work.","数量・論理, 程度・確度, 英検",3,,,,invariable
"labor
laborious
laboriously","仕事、労働者、陣痛、働く、苦労する、肉体の
手間のかかる、努力を要する
手間をかけて","I think I'm in labor. 陣痛が始まったんだと思います
Translating an entire book is a laborious task that requires attention to detail and patience.","ビジネス・経済, 医療・健康, 社会・国家, 英検",3,,,,labor
"lasting
long-lasting","長く続く
長く続く、持続的な",That company sells long-lasting mascara that is also waterproof.,"時間・頻度, 英検",3,,,,lasting
leeway,余裕、裁量,"There is no leeway to provide services free of charge for the sake of others. 他人のために無償でサービスをする余裕はない
Rarely do schoolteachers have leeway to teach classes the way they want. 学校の先生が自分の好きなように授業をする余裕があることはほとんどありません
The government does not have much leeway in foreign policy.
The new policy gives managers more leeway in deciding which employees to promote.","便利, 英検",4,,,,leeway
leverage,利用する、使う、てこの力、影響力,"I think you can leverage the skills you have to make more money in a different field. 君は今あるスキルを利用して違う分野でもっと稼げるよ
I don't have enough leverage to guarantee you a job at my workplace, but I can at least try to get you an interview.
The player’s great performance gave him a lot of leverage when negotiating a new contract.","便利, 物理・化学, 英検",3,,,,leverage
"liable / liable to do
liability","責任がある、義務がある / 〜してしまいがちである
（法的）責任",He is liable to sleep during the class.,"感情・思考, 社会・国家, 英検",3,,,,liable to do
linger,長居する、長引く、なかなか消えない,"The aftermath of COVID still lingers.
She lingered in her seat for a few minutes after the movie was over.","時間・頻度, 英検",3,,,,linger
livelihood,生活に必要なお金、生計、生活,"That farm is his livelihood.
The boat was his main source of livelihood.
The people of the village rely on the river for their livelihoods.","ビジネス・経済, 英検",3,earn,,,livelihood
loom,不気味に現れる、迫っている,"Further problems loomed ahead of us.
The day of the election loomed ever closer.
The deadline to turn in his thesis looms closer every day.","時間・頻度, 英検",4,,,,loom
loophole,逃げ道、抜け穴,"People who don't want to pay tax will exploit any loophole.
The law will close a loophole that was allowing companies to avoid paying taxes.","便利, 英検",3,,,ˈluːphəʊl,loophole
loot,略奪する、略奪品、戦利品,Some demonstrators began to loot the stores.,"社会・国家, 英検",4,,,,loot
lurk,隠れる、潜む、待ち伏せる,"The thief lurked in the bushes, waiting for everyone to leave.","動作, 英検",4,,,,lurk
"manifest
manifestly
manifestation
manifesto","明示する、表明する、明らかな
明らかに
表明、表れ
マニフェスト","They say kids manifest their own names. 子供は自分で名前を引き寄せるんだって
The importance of stories is manifest in the popularity of books and films.","会話・伝達, 社会・国家, 英検",3,,,,manifest
"mimic
mimicry","真似する、モノマネする
まね、模倣、擬態","She began mimicking a baby to make him laugh. 彼女は彼を笑わせるために赤ちゃんの真似を初めた
She was too far away to hear him so he began mimicking typing on a computer to tell her he was working. 彼女は遠くにいて聞こえなかったため、彼はタイミングをする動きをして仕事中であることを彼女に伝えた
Parrots are a species of bird with particularly impressive mimicry skills.",英検,3,,,,mimic
"fortune
misfortune","幸運、運命、財産
不幸","The company made a small fortune by producing spare parts for other products.
You shouldn't laugh at people's misfortune.","感情・思考, 社会・国家, 英検",2,,,,misfortune
"mitigate
mitigation",和らげる、軽減する,"Healthy eating and exercise will mitigate your health worries.
Taking motion sickness pills can mitigate some negative side effects of this drug.","医療・健康, 英検",3,,,,mitigate
momentum,勢い、弾み,"I don't think that the momentum behind Bitcoin will continue indefinitely. ビットコインの勢いがこのまま続くとは思わないな
The investigation gained momentum after new evidence was discovered.","便利, 英検",3,,,,momentum
"monopoly
monopolize
monopolization
monopolistic
monopolist","独占、独占事業、独占企業
独占する
独占化
独占的な
独占者",That airline basically has a monopoly on that particular flight route.,"ビジネス・経済, 人・職業, 英検",4,,,,monopoly
"municipal
municipality","地方自治の、市の
地方自治体",Leaders of several municipalities are against the bill.,"社会・国家, 英検",4,,,,municipal
"necessary
necessarily
necessity
necessitate","必要な、必須な、必然的な
必ずしも
必要、必要性、不可欠
必要とする、余儀なくさせる","Expensive doesn't necessarily mean better.
Learning a language necessarily takes time.
The new workplace safety law necessitated a substantial investment in the factory building.","優劣・是非, 程度・確度, 英検",2,,,,necessarily
"neutral
neutrality
neutlize","中立な
中立、中立的立場
中立化する","Journalists are supposed to be politically neutral. ジャーナリストたちは政治的に中立でいないといけないことになっている
Switzerland adopted an official policy of neutrality in the late 19th century.","性格・態度, 感情・思考, 英検",2,,,,neutral
niche,適所,"She feels that she has her own niche in the company.
He found his niche in politics. 彼は政治の世界で自分の適所を見つけた
He spotted a niche in the market. 彼は市場の中で適所を見つけた
The new type of exercise has found a niche in the health and wellness market.","カタカナ・象徴語, 便利, 英検",3,,,,niche
"nocturnal
nocturne","夜行性の、夜に起こる
ノクターン、夜想曲","These insects are largely nocturnal.
Owls are nocturnal, so it is rare to see one during the day.","性格・態度, 時間・頻度, 芸術・音楽, 英検",5,,,,nocturnal
norm,標準、規範,"Small families are the norm nowadays.
Working women are the norm in that nation. その国では女性が働くのは普通のことです
Taking vacations overseas has become the norm for most of my friends.
The new design is a departure from the norm. その新しいデザインは、これまでの常識を覆すものです
It was the norm for people to have many children back then.","便利, 英検",2,,,,norm
novice,初心者、新米の、駆け出しの,"Novice programmers sometimes make fundamental errors. 新米のプログラマは時折基本的なミスをする
Novice wine drinkers are often confused about what type of wine they should drink.","人・職業, 英検",2,,,,novice
"obliterate / obliterate A fron B
obliteration","消す、取り除く、破壊する、全滅させる / 〜から〜を消し去る、取り除く
完全破壊、抹殺","The snow had obliterated their footprints.
As the human population grows, unprotected forests are obliterated.
The building was completely obliterated in the tornado.","ビジネス・経済, 英検",4,,,,obliterate
"obscure
obscurity","わかりづらく難しい、ぼやけさせる、曖昧な、無名な
不明瞭、良く知られていないこと、無名","I don't remember my password because I made it too obscure. パスワードわかりにくくしすぎたせいで覚えてないよ
The lawyer purposefully obscured the explanation of the situation. その弁護士は状況の説明をわざと濁した",英検,3,,,əbˈskjʊr,obscure
"obsess
obsession
obsessive","取りつく
強迫観念
頭から離れない、執念のある、強迫観念の",She is obsessive about the cleanliness of her home.,"感情・思考, 英検",3,,,,obsessive
"obsolete
obsolescent
obsolescence","時代遅れの、廃れた
時代遅れになりつつある、廃れていっている
廃れること、旧式化","The concept of physically going to school to take lessons is a bit obsolete given the number of quality lectures online. オンラインでも質の良い講義がたくさんあるし、対面で授業を受けるために学校に行くのは少し時代遅れだよね
How are you going to clear out obsolescent inventory? 古くなってきた在庫はどうやって処分するの？","時間・頻度, 英検",3,,,,obsolete
"offense
offend
offender","違反
犯罪を犯す、嫌な気持ちにさせる
犯罪者",The three-strikes law punishes offenders with a life sentence after three convictions. 三振法は、３回の有罪判決のあとは犯罪者を終身刑で罰する,"人・職業, 社会・国家, 英検",3,,,,offense
"oppress
oppressive
oppression","虐げる、圧迫する
高圧的な、圧政的な
圧迫、抑圧","The government oppresses minority groups, especially homosexuals.","影響・妨害, 性格・態度, 英検",4,,,,oppressive
"optimize
optimization
optimum
the optimum
optimal","最適化する、最大限に利用する
最適化
最適な（客観的、数値的に）
最適条件
最適な（状況によって異なる）","I don't have a lot of free time, so I have to optimize my workout routine. そんなに自由に使える時間ないし、運動習慣を最適化しないといけないなぁ
Do you know what the optimum level of daily protein intake is? 一日の最適なプロテイン摂取量ってどのくらいか知ってる？
We need to make optimum use of natural resources. 私たちは天然資源を最大限に活用する必要がある
May is the optimal month for climbing Mount Everest. エベレストは、5月に登るのが最善です","ビジネス・経済, 英検",3,,,,optimize
"opt
option
optional","選択する、決める
選択権、選択肢
選択の、任意の","She always opts for business-class tickets when she can afford them.
I have no[little] option in the matter. その件について私には選択権がない[ほとんどない]","便利, 英検",2,,,,option
outlaw,法的に禁止する、追放する、無法者,Alcohol was outlawed for many years in the United States.,"人・職業, 社会・国家, 英検",4,,,,outlaw
"outrage
outrageous","激怒、激怒させる
法外な、非道な、ひどい","People have expressed outrage over the destruction of the historical monument.
It is outrageous for the government to cut down spending on education to this extent. 教育費をこんなに削るとは政府もけしからん
The shyster charged him an outrageous fee. そのいんちき弁護士は法外な料金を彼に請求した","優劣・是非, 感情・思考, 英検",3,,,,outrageous
overhaul,徹底的に見直す、総点検する、見直し、総点検,"My watch needs to be overhauled, but I don't know where to get it done.
Recently I had my watch overhauled.",英検,3,,,,overhaul
"oversee
oversight","監督する
見落とし、見過ごし、ミス、監視","I didn't mean to leave her name off the list; it was an oversight.
That's a major oversight. それは重大なミスです
The accounting department is responsible for oversight of all financial reporting.","カタカナ・象徴語, 便利, 英検",2,,,,oversight
paramount,最重要な,The safety of all our passengers is of paramount importance.,"優劣・是非, 英検",4,,,,paramount
passionate / dispassionate,こだわりがある、特別な感情がある、短気な / 感情にされない、冷静な,"I'm passionate about baseball.
He is very passionate about the project.","性格・態度, 英検",2,,,,passionate about A
"penalty
penalize
penal","罰則、罰金
罰する
刑の",The company will be penalized if it does not file its taxes this month.,"社会・国家, 英検",3,,,,penalty
perks,特典、手当,Becoming a frequent flyer member offers a lot of great perks.,"便利, 英検",3,,,,perks
"phenomenon
phenomenal","現象、驚異的な人、奇才
驚異的な並外れた",The popularity of K-Pop gourps in Japn has become a big social phenomenon.,"人・職業, 便利, 優劣・是非, 英検",3,,,,phenomenon
"pivot
pivotal","中枢、回る、回転させる
中枢の、極めて重要な","You're really pivotal to the team, so you need to look after yourself.","優劣・是非, 英検",4,,,,pivot
plague,苦しめる、悩ます、疫病,"My company is plagued by a lack of leadership. 私の会社のリーダーシップの無さに悩まされている
The department store was plagued with shoplifters, some of whom operated in gangs.
The soccer player was plagued with injuries throughout his career.","医療・健康, 感情・思考, 英検",3,,,,plague
"plead
plea
","認める、主張する、弁護する、懇願する、言い訳に使う
懇願","He pleaded a headache and went home. 彼は頭痛を言い訳にして家に帰った
He pleaded guilty to the charge of involuntary manslaughter.","会話・伝達, 社会・国家, 英検",4,,,,plead
"practical
practitioner","手際の良い、実務肌の、実践的な
開業者、開業医、弁護士",,"人・職業, 英検",2,,,,practical
"precede
preceding
precedent
precedented / unprecedented","先に起こる、先立つ
先立つ
判例、前例
前例のある、前例のない","The judge’s decision will set a precedent for future cases.
That state is facing unprecedented levels of drought this year.","便利, 時間・頻度, 英検",4,set,,,precede
"predominate
predominant
predominantly
predominance","優位を占める
支配的な
主に、大部分は
優勢",Democrats predominate in the Senate.,"数量・論理, 英検",4,,,,predominantly
"prefer
preferable
preference
preferential","〜がより好き
好ましい
好み、希望、優遇、贔屓
優先的な、優遇の","It is preferable to install anti-virus software. ウィルス対策ソフトを入れておく方が好ましいです
They give their regular customers preferential treatment at that shop.","優劣・是非, 感情・思考, 英検",2,,,,prefer A to B
premium,上等な、高級な、質の高い、賞、賞金、景品、保険料、割増金,"You have to pay a high premium for express delivery.
He has to pay high car insurance premiums.
The insurance company has increased our premiums.","優劣・是非, 社会・国家, 英検",3,insurance,,ˈpriːmiəm,premium
prerequisite,前提条件の、必須の、必修の、必要条件,"A knowledge of Chinese is a prerequisite for this job. この仕事には中国語の知識が必須です
A clean driving record is a prerequisite for applying. 運転歴に違反がないことが応募の条件だ","便利, 英検",3,subject,,,prerequisite
"prestige
prestigious","威信、高い評判
権威のある",Her prize-winning album brought her prestige in the entertainment industry.,"優劣・是非, 英検",3,"university
award",,,prestige
"presume
presumption
presumptuous","仮定する。推定する
思い込み、推測、仮定
厚かましい、出しゃばった","Acting on your presumptions without researching them first is a bad idea.
It would be presumptuous of me to tell her how she should raise her kids.","便利, 性格・態度, 感情・思考, 英検",4,,,,presumption
"pretend
pretense
pretension
pretentious","〜のふりをする
ふり、見せかけ、口実
見せかけること、てらい
もったいぶった、見栄を張る、偽りの
",,"性格・態度, 英検",3,,,,pretentious
"prevalent
prevalence
prevail","広く行き渡った、流行している
普及、流行
普及する、広まる","Smartphones have become so prevalent nowadays so you rarely see people with flip phones.
The prevalence of drinking has decreased among young people.",英検,2,,,,prevalent
pricy [pricey],高価な,"That wine is excellent, but a little pricey at 50 dollears.","ビジネス・経済, 英検",2,,,,pricy
"privilege
privileged","特権
特権的な、特権を持つ",Her job at that company puts her in a privileged position.,"人・職業, 社会・国家, 英検",3,,,,privilege
"probation
probationer
probationary","見習い期間、保護観察
見習い生、保護観察下の犯罪者
試用の、見習い中の",All new employees will be subject to a probationary period of six months.,"ビジネス・経済, 人・職業, 時間・頻度, 英検",5,,,,probationer
"procrastinate (on A)
procrastination",先延ばしにする、後回しにする,"People were dying of starvation while governments procrastinated.
Because he procrastinates, he is always highly stressed right before a deadline.","時間・頻度, 英検",3,,,,procrastinate (on A)
"profound
profoundly
profundity","心からの、深い、深刻な、重大な
心から、非常に、深く
深刻さ、深さ","I'm profoundly thankful for all your support. あなたのサポートを心から感謝します
The book Meditations by Marcus Aurelius is filled with profound insights.","感情・思考, 英検",4,,,,profound
"prolong
prolongation","長引かせる
延長、延期","Do you think drinking green tea every day prolong your life?
The prolonged war left the region in ruins.","時間・頻度, 英検",4,,,,prolong
protagonist,主人公,The protagonist of the story is a young boy.,"人・職業, 英検",3,単語,,,protagonist
